engenharia; 1; 2.56%
área; 1; 2.56%
computacao; 1; 2.56%
voltada; 1; 2.56%
especificacao; 1; 2.56%
desenvolvimento; 1; 2.56%
manutencao; 1; 2.56%
criacao; 1; 2.56%
sistemas; 1; 2.56%
aplicação; 1; 2.56%
gerencia; 1; 2.56%
projetos; 1; 2.56%
outras; 1; 2.56%
disciplinas; 1; 2.56%
visando; 1; 2.56%
organizacao; 1; 2.56%
produtividade; 1; 2.56%
atualmente; 1; 2.56%
essas; 1; 2.56%
englobam; 1; 2.56%
linguagens; 1; 2.56%
programação; 1; 2.56%
banco; 1; 2.56%
dados; 1; 2.56%
ferramentas; 1; 2.56%
plataformas; 1; 2.56%
bibliotecas; 1; 2.56%
padroes; 1; 2.56%
processos; 1; 2.56%
questão; 1; 2.56%
tecnologias; 2; 5.13%
qualidade; 2; 5.13%
praticas; 2; 5.13%
software; 3; 7.69%
